Les,DET:ART,le
produits,NOM,produit
de,PRP,de
haute,ADJ,haut
technologie,NOM,technologie
de,PRP,de
l,NOM,l
’,ABR,’
industrie,NOM,industrie
de,PRP,de
défense,NOM,défense
du,PRP:det,du
Groupe,NOM,groupe
de,PRP,de
l,NOM,l
’,ABR,’
industrie,NOM,industrie
militaire,ADJ,militaire
et,KON,et
des,PRP:det,du
télécommunications,NOM,télécommunication
(,PUN,(
Viettel,NAM,Viettel
),PUN,)
ont,VER:pres,avoir
été,VER:pper,être
présentés,VER:pper,présenter
à,PRP,à
l,NOM,l
’,ADJ,’
Exposition,NOM,exposition
et,KON,et
conférence,NOM,conférence
sur,PRP,sur
les,DET:ART,le
services,NOM,service
de,PRP,de
défense,NOM,défense
en,PRP,en
Asie,NAM,Asie
2024,NUM,@card@
(,PUN,(
DSA,NAM,DSA
),PUN,)
et,KON,et
à,PRP,à
la,DET:ART,le
Conférence,NOM,conférence
sur,PRP,sur
la,DET:ART,le
sécurité,NOM,sécurité
nationale,ADJ,national
en,PRP,en
Asie,NAM,Asie
(,PUN,(
NATSEC,NAM,NATSEC
),PUN,)
",",PUN,","
tenues,VER:pper,tenir
en,PRP,en
Malaisie,NAM,Malaisie
.,SENT,.
Kuala_Lumpur,NAM,Kuala_Lumpur
(,PUN,(
VNA,NAM,VNA
),PUN,)
-,PUN,-
Les,DET:ART,le
produits,NOM,produit
de,PRP,de
haute,ADJ,haut
technologie,NOM,technologie
de,PRP,de
l,NOM,l
’,ABR,’
industrie,NOM,industrie
de,PRP,de
défense,NOM,défense
du,PRP:det,du
Groupe,NOM,groupe
de,PRP,de
l,NOM,l
’,ABR,’
industrie,NOM,industrie
militaire,ADJ,militaire
et,KON,et
des,PRP:det,du
télécommunications,NOM,télécommunication
(,PUN,(
Viettel,NAM,Viettel
),PUN,)
ont,VER:pres,avoir
été,VER:pper,être
présentés,VER:pper,présenter
à,PRP,à
l,NOM,l
’,ADJ,’
Exposition,NOM,exposition
et,KON,et
conférence,NOM,conférence
sur,PRP,sur
les,DET:ART,le
services,NOM,service
de,PRP,de
défense,NOM,défense
en,PRP,en
Asie,NAM,Asie
2024,NUM,@card@
(,PUN,(
DSA,NAM,DSA
