1	Theo	V	O	0	root
2	văn_phòng	N	O	1	dob
3	Thủ_tướng	N	O	2	nmod
4	,	CH	O	1	punct
5	ông	Nc	O	1	sub
6	Netanyahu	Np	B-PER	5	nmod
7	đã	R	O	8	adv
8	thông_qua	V	O	1	vmod
9	kế_hoạch	N	O	8	dob
10	dài_hạn	A	O	9	nmod
11	và	Cc	O	10	coord
12	trung_hạn	A	O	11	conj
13	của	E	O	9	nmod
14	Cơ_quan	N	B-ORG	13	pob
15	Quản_lý	V	I-ORG	14	nmod
16	Trại_giam	Np	I-ORG	15	dob
17	Israel	Np	I-ORG	16	nmod
18	(	CH	O	14	punct
19	IPS	Ny	O	14	nmod
20	)	CH	O	1	punct
21	.	CH	O	1	punct

1	Kể	V	O	0	root
2	từ	E	O	1	vmod
3	khi	N	O	2	pob
4	xung_đột	V	O	3	nmod
5	Israel	Np	B-LOC	4	dob
6	-	CH	O	5	punct
7	Hamas	Np	B-ORG	5	nmod
8	bùng_phát	V	O	1	vmod
9	ngày	N	O	8	tmp
10	7	M	O	9	det
11	/	CH	O	9	punct
12	10	M	O	9	det
13	/	CH	O	9	punct
14	2023	M	O	9	det
15	,	CH	O	1	punct
16	khoảng	N	O	18	sub
17	4.000	M	O	18	det
18	nghi	V	O	1	vmod
19	phạm	V	O	18	vmod
20	đã	R	O	21	adv
21	bị	V	O	1	vmod
22	bắt_giữ	V	O	21	vmod
23	,	CH	O	1	punct
24	phần_lớn	N	O	22	dob
25	trong	E	O	24	nmod
26	số	N	O	25	pob
27	họ	P	O	26	nmod
28	sống	V	O	26	nmod
29	tại	E	O	28	loc
30	Gaza	Np	B-LOC	29	pob
31	.	CH	O	1	punct

1	Lực_lượng	N	O	30	sub
2	Phòng_vệ	Np	O	1	nmod
3	Israel	Np	O	1	nmod
4	(	CH	O	1	punct
5	IDF	Ny	B-ORG	1	nmod
6	)	CH	O	1	punct
7	và	Cc	O	1	coord
8	Cơ_quan	N	O	7	conj
9	an_ninh	N	O	8	nmod
10	nội_địa	N	O	9	nmod
11	của	E	O	1	nmod
12	Israel	Np	B-LOC	11	pob
13	(	CH	O	12	punct
14	Shin_Bet	Np	B-LOC	12	nmod
15	)	CH	O	12	punct
16	trong	E	O	1	tmp
17	cuộc	N	O	16	pob
18	họp	V	O	17	nmod
19	với	E	O	17	nmod
20	đại_diện	N	O	19	pob
21	từ	E	O	17	nmod
22	Bộ	Np	B-ORG	21	pob
23	Quốc_phòng	Np	I-ORG	22	nmod
24	,	CH	O	22	punct
25	Tài_chính	Np	O	22	nmod
26	,	CH	O	22	punct
27	An_ninh	Np	O	22	nmod
28	Quốc_gia	Np	O	22	nmod
29	,	CH	O	1	punct
30	ước_tính	V	O	0	root
31	hàng	R	O	33	nmod
32	nghìn	M	O	33	det
33	người	Nc	B-MISC	36	sub
34	Palestine	Np	I-MISC	33	nmod
35	có_thể	R	O	36	adv
36	bị	V	O	30	vmod
37	bắt	V	O	36	vmod
38	trong	E	O	37	tmp
39	năm	N	O	38	pob
40	2024	M	O	39	det
41	.	CH	O	30	punct

1	Điều	N	O	4	sub
2	này	P	O	1	det
3	có_thể	R	O	4	adv
4	dẫn	V	O	0	root
5	đến	E	O	4	vmod
6	tình_trạng	N	O	5	pob
7	thiếu	V	O	6	nmod
8	trầm_trọng	A	O	7	vmod
9	không_gian	N	O	7	dob
10	trong	E	O	7	tmp
11	các	L	O	12	det
12	nhà_tù	N	O	10	pob
13	nếu	C	O	14	dep
14	công_tác	V	O	12	nmod
15	chuẩn_bị	V	O	14	vmod
16	không	R	O	17	adv
17	được	V	O	4	vmod
18	xem_xét	V	O	17	vmod
19	chu_đáo	A	O	18	vmod
20	.	CH	O	4	punct

1	Trước	E	O	13	tmp
2	đó	P	O	1	pob
3	,	CH	O	13	punct
4	vào	E	O	13	tmp
5	ngày	N	O	4	pob
6	7	M	O	5	det
7	/	CH	O	5	punct
8	3	M	O	5	det
9	,	CH	O	5	punct
10	IDF	Ny	B-ORG	5	nmod
11	và	Cc	O	10	coord
12	Shin_Bet	Np	B-PER	11	conj
13	xác_nhận	V	O	0	root
14	40	M	O	15	sub
15	nghi	V	O	13	vmod
16	phạm	V	O	15	vmod
17	người	Nc	B-MISC	19	sub
18	Palestine	Np	I-MISC	17	nmod
19	bị	V	O	13	vmod
20	giam_giữ	V	O	19	vmod
21	hành_chính	N	O	20	dob
22	đã	R	O	23	adv
23	được	V	O	19	vmod
24	thả	V	O	23	vmod
25	để_dành	V	O	24	vmod
26	chỗ	N	O	25	dob
27	cho	E	O	25	vmod
28	những	L	O	29	det
29	nghi	V	O	27	vmod
30	phạm	V	O	29	vmod
31	nguy_hiểm	A	O	30	vmod
32	hơn	A	O	31	amod
33	.	CH	O	13	punct

1	Giam_giữ	V	O	0	root
2	hành_chính	N	O	1	dob
3	là	V	O	1	vmod
4	hình_thức	N	O	3	dob
5	trong	E	O	4	nmod
6	đó	P	O	5	pob
7	các	L	O	8	det
8	nghi	V	O	4	nmod
9	phạm	V	O	8	vmod
10	khủng_bố	V	O	9	vmod
11	người	Nc	B-MISC	14	sub
12	Palestine	Np	I-MISC	11	nmod
13	sẽ	R	O	14	adv
14	bị	V	O	9	dep
15	bắt	V	O	14	vmod
16	dù	C	O	14	coord
17	không	R	O	18	adv
18	có	V	O	16	conj
19	buộc_tội	N	O	18	dob
20	hay	C	O	19	coord
21	xét_xử	V	O	20	conj
22	.	CH	O	1	punct

1	Cơ_quan_chức_năng	N	O	3	sub
2	Israel	Np	B-LOC	1	nmod
3	áp_dụng	V	O	0	root
4	hình_thức	N	O	3	dob
5	này	P	O	4	det
6	khi	N	O	3	tmp
7	có	V	O	6	nmod
8	thông_tin	N	O	7	dob
9	tình_báo	N	O	8	nmod
10	liên_quan	V	O	8	nmod
11	đến	E	O	10	vmod
12	nghi	V	O	11	vmod
13	phạm	V	O	12	vmod
14	nhưng	C	O	3	coord
15	không	R	O	16	adv
16	nắm	V	O	14	conj
17	đủ	A	O	16	vmod
18	bằng_chứng	N	O	17	amod
19	để	E	O	16	prp
20	buộc_tội	V	O	19	vmod
21	hoặc	Cc	O	20	coord
22	khởi_tố	V	O	21	conj
23	.	CH	O	3	punct

1	Cứ	R	O	2	dep
2	sau	E	O	11	tmp
3	nửa	M	O	4	det
4	năm	N	O	2	pob
5	,	CH	O	11	punct
6	toà_án	N	O	11	sub
7	quân_sự	N	O	6	nmod
8	của	E	O	6	nmod
9	Israel	Np	B-LOC	8	pob
10	sẽ	R	O	11	adv
11	xem_xét	V	O	0	root
12	lại	R	O	11	adv
13	về	E	O	11	vmod
14	các	L	O	15	det
15	nghi	V	O	13	vmod
16	phạm	V	O	15	vmod
17	bị	V	O	16	vmod
18	bắt_giữ	V	O	17	vmod
19	.	CH	O	11	punct

1	Có	V	O	0	root
2	trường_hợp	N	O	1	dob
3	nghi	V	O	2	nmod
4	phạm	V	O	3	vmod
5	tiếp_tục	V	O	4	vmod
6	phải	V	O	5	vmod
7	ở	V	O	6	vmod
8	lại	R	O	7	adv
9	trong	E	O	7	loc
10	tù	N	O	9	pob
11	nhiều	A	O	12	nmod
12	năm	N	O	7	tmp
13	.	CH	O	1	punct

1	Israel	Np	B-LOC	2	sub
2	khẳng_định	V	O	0	root
3	giam_giữ	V	O	2	vmod
4	hành_chính	N	O	3	dob
5	là	V	O	2	vmod
6	công_cụ	N	O	5	vmod
7	giúp	V	O	6	nmod
8	ngăn	V	O	5	vmod
9	những	L	O	10	det
10	kẻ	N	O	8	dob
11	khủng_bố	V	O	10	nmod
12	nguy_hiểm	N	O	10	nmod
13	xuất_hiện	V	O	10	nmod
14	trên	E	O	13	loc
15	đường_phố	N	O	14	pob
16	và	Cc	O	2	coord
17	tạo	V	O	16	conj
18	điều_kiện	N	O	17	dob
19	để	E	O	2	prp
20	chính_phủ	N	O	21	sub
21	bắt_giữ	V	O	19	dep
22	nghi	V	O	21	vmod
23	phạm	V	O	22	vmod
24	mà	C	O	21	coord
25	không	R	O	26	adv
26	lộ	V	O	24	conj
27	nguồn	N	O	26	dob
28	tình_báo	N	O	27	nmod
29	nhạy_cảm	A	O	27	nmod
30	.	CH	O	2	punct

1	Tờ	Nc	O	5	sub
2	Times	Np	B-ORG	1	nmod
3	of	E	I-ORG	1	loc
4	Israel	Np	I-ORG	3	pob
5	dẫn	V	O	0	root
6	nguồn	N	O	5	dob
7	từ	E	O	6	loc
8	các	L	O	9	det
9	nhà	N	O	7	pob
10	hoạt_động	V	O	9	nmod
11	ước_tính	V	O	10	vmod
12	rằng	C	O	27	dep
13	riêng	A	O	11	vmod
14	trong	E	O	13	amod
15	tháng	N	O	14	pob
16	2	M	O	15	det
17	,	CH	O	15	punct
18	số	N	O	15	nmod
19	tù_nhân	N	O	18	nmod
20	người	N	B-MISC	18	nmod
