Rubriques,NOM,rubrique
Le,DET:ART,le
général,NOM,général
de,PRP,de
corps,NOM,corps
d,ADJ,d
’,ADJ,’
armée,VER:pper,armer
Hoàng_Xuân_Chiên,NAM,Hoàng_Xuân_Chiên
a,VER:pres,avoir
affirmé,VER:pper,affirmer
que,KON,que
le,DET:ART,le
Parti,NOM,parti
",",PUN,","
le,DET:ART,le
Gouvernement,NOM,gouvernement
et,KON,et
le,DET:ART,le
Ministère,NOM,ministère
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
du,PRP:det,du
Vietnam,NAM,Vietnam
attachaient,VER:impf,attacher
toujours,ADV,toujours
une,DET:ART,un
grande,ADJ,grand
importance,NOM,importance
au,PRP:det,au
partenariat,NOM,partenariat
de,PRP,de
coopération,NOM,coopération
stratégique,ADJ,stratégique
intégral,ADJ,intégral
entre,PRP,entre
le,DET:ART,le
Vietnam,NAM,Vietnam
et,KON,et
la,DET:ART,le
Chine,NAM,Chine
.,SENT,.
La,DET:ART,le
coopération,NOM,coopération
intégrale,ADJ,intégral
entre,PRP,entre
les,DET:ART,le
deux,NUM,deux
Partis,NOM,parti
et,KON,et
les,DET:ART,le
deux,NUM,deux
pays,NOM,pays
est,VER:pres,être
une,DET:ART,un
prémisse,NOM,prémisse
pour,PRP,pour
promouvoir,VER:infi,promouvoir
la,DET:ART,le
défense,NOM,défense
bilatérale,ADJ,bilatéral
dans,PRP,dans
divers,ADJ,divers
domaines,NOM,domaine
",",PUN,","
conformément,ADV,conformément
à,PRP,à
l,NOM,l
',PUN,'
esprit,NOM,esprit
de,PRP,de
la,DET:ART,le
Déclaration,NOM,déclaration
conjointe,ADJ,conjoint
sur,PRP,sur
la,DET:ART,le
poursuite,NOM,poursuite
de,PRP,de
la,DET:ART,le
promotion,NOM,promotion
et,KON,et
de,PRP,de
l,NOM,l
',PUN,'
approfondissement,NOM,approfondissement
du,PRP:det,du
partenariat,NOM,partenariat
de,PRP,de
coopération,NOM,coopération
stratégique,ADJ,stratégique
intégral,ADJ,intégral
Vietnam,NAM,Vietnam
-,PUN,-
Chine,NAM,Chine
publiée,VER:pper,publier
à,PRP,à
l,NOM,l
',PUN,'
occasion,NOM,occasion
de,PRP,de
la,DET:ART,le
visite,NOM,visite
officielle,ADJ,officiel
du,PRP:det,du
Secrétaire,NOM,secrétaire
général,ADJ,général
du,PRP:det,du
Parti,NOM,parti
communiste,ADJ,communiste
du,PRP:det,du
Vietnam,NAM,Vietnam
",",PUN,","
Nguyên_Phu,NAM,Nguyên_Phu
Trong,NAM,Trong
",",PUN,","
en,PRP,en
Chine,NAM,Chine
en,PRP,en
novembre,NOM,novembre
2022,NUM,@card@
.,SENT,.
Il,PRO:PER,il
a,VER:pres,avoir
proposé,VER:pper,proposer
que,KON,que
les,DET:ART,le
deux,NUM,deux
parties,NOM,partie
continuent,VER:pres,continuer
de,PRP,de
renforcer,VER:infi,renforcer
la,DET:ART,le
coopération,NOM,coopération
en,PRP,en
matière,NOM,matière
de,PRP,de
défense,NOM,défense
conformément,ADV,conformément
aux,PRP:det,au
documents,NOM,document
",",PUN,","
aux,PRP:det,au
accords,NOM,accord
conclus,VER:pper,conclure
et,KON,et
aux,PRP:det,au
perceptions,NOM,perception
communes,ADJ,commun
conclues,VER:pper,conclure
après,PRP,après
la,DET:ART,le
rencontre,NOM,rencontre
bilatérale,ADJ,bilatéral
entre,PRP,entre
les,DET:ART,le
deux,NUM,deux
ministres,NOM,ministre
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
dans,PRP,dans
le,DET:ART,le
cadre,NOM,cadre
de,PRP,de
la,DET:ART,le
visite,NOM,visite
officielle,ADJ,officiel
du,PRP:det,du
Premier,NAM,Premier
ministre,NOM,ministre
vietnamien,ADJ,vietnamien
",",PUN,","
Pham_Minh_Chinh,NAM,Pham_Minh_Chinh
",",PUN,","
en,PRP,en
Chine,NAM,Chine
en,PRP,en
juin,NOM,juin
dernier,ADJ,dernier
",",PUN,","
en,PRO:PER,en
mettant,VER:ppre,mettre
l,VER:pper,l
',PUN,'
accent,NOM,accent
sur,PRP,sur
l,NOM,l
’,ADJ,’
échange,VER:pres,échanger
de,PRP,de
délégations,NOM,délégation
",",PUN,","
le,DET:ART,le
dialogue,NOM,dialogue
stratégique,ADJ,stratégique
de,PRP,de
défense,NOM,défense
",",PUN,","
la,DET:ART,le
coopération,NOM,coopération
en,PRP,en
matière,NOM,matière
de,PRP,de
gestion,NOM,gestion
et,KON,et
de,PRP,de
protection,NOM,protection
des,PRP:det,du
frontières,ADJ,frontière
",",PUN,","
la,DET:ART,le
promotion,NOM,promotion
de,PRP,de
la,DET:ART,le
signature,NOM,signature
de,PRP,de
documents,NOM,document
de,PRP,de
coopération,NOM,coopération
en,PRP,en
matière,NOM,matière
d,VER:cond,d
’,ADJ,’
armée,NOM,armée
navale,ADJ,naval
et,KON,et
de,PRP,de
garde,NOM,garde
-,PUN,-
frontières,ADJ,frontière
.,SENT,.
