Rubriques,NOM,rubrique
Cet,PRO:DEM,ce
échange,NOM,échange
d,VER:futu,d
’,ADJ,’
amitié,NOM,amitié
se,PRO:PER,se
déroule,VER:pres,dérouler
les,DET:ART,le
11,NUM,@card@
et,KON,et
12,NUM,@card@
avril,NOM,avril
",",PUN,","
dans,PRP,dans
la,DET:ART,le
province,NOM,province
vietnamienne,ADJ,vietnamien
de,PRP,de
Lào_Cai,NAM,Lào_Cai
et,KON,et
la,DET:ART,le
province,NOM,province
chinoise,ADJ,chinois
du,PRP:det,du
Yunnan,NAM,Yunnan
.,SENT,.
Ce,PRO:DEM,ce
rendez,VER:pres,rendre
-,PUN,-
vous,PRO:PER,vous
annuel,ADJ,annuel
témoigne,VER:pres,témoigner
de,PRP,de
la,DET:ART,le
volonté,NOM,volonté
du,PRP:det,du
Vietnam,NAM,Vietnam
et,KON,et
de,PRP,de
la,DET:ART,le
Chine,NAM,Chine
de,PRP,de
renforcer,VER:infi,renforcer
leur,DET:POS,leur
amitié,NOM,amitié
traditionnelle,ADJ,traditionnel
",",PUN,","
leur,DET:POS,leur
solidarité,NOM,solidarité
spéciale,ADJ,spécial
",",PUN,","
leur,DET:POS,leur
confiance,NOM,confiance
politique,ADJ,politique
et,KON,et
leur,DET:POS,leur
coopération,NOM,coopération
intégrale,ADJ,intégral
pour,PRP,pour
une,DET:ART,un
frontière,NOM,frontière
de,PRP,de
paix,NOM,paix
et,KON,et
de,PRP,de
stabilité,NOM,stabilité
.,SENT,.
À,PRP,à
Lào_Cai,NAM,Lào_Cai
",",PUN,","
différentes,ADJ,différent
activités,NOM,activité
ont,VER:pres,avoir
eu,VER:pper,avoir
lieu,NOM,lieu
:,PUN,:
cérémonie,NOM,cérémonie
d,ADJ,d
',PUN,'
accueil,NOM,accueil
de,PRP,de
la,DET:ART,le
délégation,NOM,délégation
chinoise,ADJ,chinois
",",PUN,","
entretien,NOM,entretien
militaire,ADJ,militaire
",",PUN,","
cérémonie,NOM,cérémonie
de,PRP,de
salutation,NOM,salutation
des,PRP:det,du
bornes,NOM,borne
frontières,ADJ,frontière
",",PUN,","
peinture,NOM,peinture
des,PRP:det,du
bornes,NOM,borne
frontières,ADJ,frontière
",",PUN,","
plantation,NOM,plantation
d,ADJ,d
’,ADJ,’
arbres,NOM,arbre
",",PUN,","
inauguration,NOM,inauguration
de,PRP,de
la,DET:ART,le
maison,NOM,maison
culturelle,ADJ,culturel
d,VER:simp,d
’,ADJ,’
amitié,NOM,amitié
dans,PRP,dans
la,DET:ART,le
commune,NOM,commune
de,PRP,de
Ban_Phiêt,NAM,Ban_Phiêt
",",PUN,","
remise,VER:pper,remettre
des,PRP:det,du
cadeaux,NOM,cadeau
aux,PRP:det,au
éleves,NOM,éleves
de,PRP,de
l,NOM,l
',PUN,'
école,NOM,école
primaire,ADJ,primaire
de,PRP,de
Kim_Dông,NAM,Kim_Dông
",",PUN,","
signature,NOM,signature
d,ADJ,d
',PUN,'
un,DET:ART,un
mémorandum,NOM,mémorandum
de,PRP,de
coopération,NOM,coopération
",",PUN,","
etc,ABR,etc
.,SENT,.
*,ABR,*
Le,DET:ART,le
même,ADJ,même
jour,NOM,jour
",",PUN,","
un,DET:ART,un
entretien,NOM,entretien
entre,PRP,entre
les,DET:ART,le
ministères,NOM,ministère
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
du,PRP:det,du
Vietnam,NAM,Vietnam
et,KON,et
de,PRP,de
la,DET:ART,le
Chine,NAM,Chine
s,ADJ,s
',PUN,'
est,VER:pres,être
tenu,VER:pper,tenir
dans,PRP,dans
la,DET:ART,le
province,NOM,province
vietnamienne,ADJ,vietnamien
de,PRP,de
Lào_Cai,NAM,Lào_Cai
et,KON,et
ce,PRO:DEM,ce
",",PUN,","
dans,PRP,dans
le,DET:ART,le
cadre,NOM,cadre
du,PRP:det,du
8e,NUM,8e
échange,NOM,échange
d,VER:futu,d
’,ADJ,’
amitié,NOM,amitié
sur,PRP,sur
la,DET:ART,le
défense,NOM,défense
à,PRP,à
la,DET:ART,le
frontière,NOM,frontière
Vietnam,NAM,Vietnam
–,NAM,–
Chine,NAM,Chine
.,SENT,.
Entretien,NOM,entretien
entre,PRP,entre
les,DET:ART,le
délégations,NOM,délégation
militaires,ADJ,militaire
du,PRP:det,du
Vietnam,NAM,Vietnam
(,PUN,(
à,PRP,à
droite,NOM,droit|droite
),PUN,)
et,KON,et
de,PRP,de
la,DET:ART,le
Chine,NAM,Chine
",",PUN,","
le,DET:ART,le
11,NUM,@card@
avril,NOM,avril
dans,PRP,dans
la,DET:ART,le
province,NOM,province
vietnamienne,ADJ,vietnamien
de,PRP,de
Lào_Cai,NAM,Lào_Cai
.,SENT,.
Photo,NOM,photo
:,PUN,:
VNA,NAM,VNA
.,SENT,.
Lors,ADV,lors
de,PRP,de
sa,DET:POS,son
prise,NOM,prise
de,PRP,de
parole,NOM,parole
",",PUN,","
le,DET:ART,le
ministre,NOM,ministre
vietnamien,ADJ,vietnamien
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
",",PUN,","
Phan_Van_Giang,NAM,Phan_Van_Giang
",",PUN,","
a,VER:pres,avoir
souligné,VER:pper,souligner
que,KON,que
cet,PRO:DEM,ce
échange,NOM,échange
d,VER:futu,d
’,ADJ,’
amitié,NOM,amitié
permettrait,VER:cond,permettre
de,PRP,de
renforcer,VER:infi,renforcer
la,DET:ART,le
confiance,NOM,confiance
politique,ADJ,politique
",",PUN,","
la,DET:ART,le
compréhension,NOM,compréhension
mutuelle,ADJ,mutuel
",",PUN,","
la,DET:ART,le
solidarité,NOM,solidarité
et,KON,et
l,VER:simp,l
’,ADJ,’
attachement,NOM,attachement
entre,PRP,entre
les,DET:ART,le
populations,NOM,population
",",PUN,","
les,DET:ART,le
administrations,NOM,administration
locales,ADJ,local
et,KON,et
les,DET:ART,le
ministères,NOM,ministère
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
des,PRP:det,du
deux,NUM,deux
pays,NOM,pays
.,SENT,.
Cet,PRO:DEM,ce
échange,NOM,échange
