Rubriques,NOM,rubrique
Les,DET:ART,le
deux,NUM,deux
responsables,ADJ,responsable
ont,VER:pres,avoir
convenu,VER:pper,convenir
que,KON,que
depuis,PRP,depuis
le,DET:ART,le
deuxième,NUM,deuxième
dialogue,NOM,dialogue
(,PUN,(
tenu,VER:pper,tenir
en,PRP,en
avril,NOM,avril
2022,NUM,@card@
),PUN,)
",",PUN,","
la,DET:ART,le
coopération,NOM,coopération
bilatérale,ADJ,bilatéral
en,PRP,en
matière,NOM,matière
de,PRP,de
défense,NOM,défense
entre,PRP,entre
les,DET:ART,le
deux,NUM,deux
pays,NOM,pays
continuait,VER:impf,continuer
à,PRP,à
être,VER:infi,être
consolidée,VER:pper,consolider
et,KON,et
renforcée,VER:pper,renforcer
dans,PRP,dans
le,DET:ART,le
sens,NOM,sens|sen
d,ADJ,d
',PUN,'
une,DET:ART,un
coopération,NOM,coopération
pratique,ADJ,pratique
",",PUN,","
efficace,ADJ,efficace
et,KON,et
conforme,ADJ,conforme
aux,PRP:det,au
documents,NOM,document
de,PRP,de
coopération,NOM,coopération
signés,VER:pper,signer
",",PUN,","
notamment,ADV,notamment
la,DET:ART,le
Déclaration,NOM,déclaration
de,PRP,de
vision,NOM,vision
commune,ADJ,commun
sur,PRP,sur
la,DET:ART,le
coopération,NOM,coopération
de,PRP,de
défense,NOM,défense
Vietnam,NAM,Vietnam
-,PUN,-
France,NAM,France
pour,PRP,pour
la,DET:ART,le
période,NOM,période
2018,NUM,@card@
-,PUN,-
2028,NUM,@card@
et,KON,et
l,NOM,l
',PUN,'
Accord,NOM,accord
-,PUN,-
cadre,NOM,cadre
sur,PRP,sur
la,DET:ART,le
coopération,NOM,coopération
de,PRP,de
défense,NOM,défense
Vietnam,NAM,Vietnam
-,PUN,-
France,NAM,France
.,SENT,.
Ils,PRO:PER,il
ont,VER:pres,avoir
écouté,VER:pper,écouter
les,DET:ART,le
groupes,NOM,groupe
de,PRP,de
travail,NOM,travail
rendre,VER:infi,rendre
compte,NOM,compte
des,PRP:det,du
résultats,NOM,résultat
des,PRP:det,du
réunions,NOM,réunion
en,PRP,en
groupe,NOM,groupe
.,SENT,.
Ils,PRO:PER,il
se,PRO:PER,se
sont,VER:pres,être
réjouis,VER:pper,réjouir
de,PRP,de
la,DET:ART,le
mise,NOM,mise
en,PRP,en
œuvre,NOM,œuvre
des,PRP:det,du
domaines,NOM,domaine
de,PRP,de
coopération,NOM,coopération
conforme,ADJ,conforme
à,PRP,à
l,NOM,l
',PUN,'
orientation,NOM,orientation
fixée,VER:pper,fixer
par,PRP,par
les,DET:ART,le
dirigeants,NOM,dirigeant
du,PRP:det,du
ministère,NOM,ministère
vietnamien,ADJ,vietnamien
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
et,KON,et
du,PRP:det,du
ministère,NOM,ministère
français,ADJ,français
des,PRP:det,du
Armées,NOM,armée
",",PUN,","
conformément,ADV,conformément
au,PRP:det,au
partenariat,NOM,partenariat
stratégique,ADJ,stratégique
entre,PRP,entre
les,DET:ART,le
deux,NUM,deux
pays,NOM,pays
.,SENT,.
Alice_Rufo,NAM,Alice_Rufo
a,VER:pres,avoir
affirmé,VER:pper,affirmer
que,KON,que
les,DET:ART,le
relations,NOM,relation
de,PRP,de
coopération,NOM,coopération
entre,PRP,entre
le,DET:ART,le
Vietnam,NAM,Vietnam
et,KON,et
la,DET:ART,le
France,NAM,France
constituaient,VER:impf,constituer
un,DET:ART,un
exemple,NOM,exemple
des,PRP:det,du
relations,NOM,relation
extérieures,ADJ,extérieur
entre,PRP,entre
les,DET:ART,le
pays,NOM,pays
du,PRP:det,du
monde,NOM,monde
entier,ADJ,entier
.,SENT,.
La_France,NAM,La_France
souhaite,VER:pres,souhaiter
poursuivre,VER:infi,poursuivre
une,DET:ART,un
coopération,NOM,coopération
étroite,ADJ,étroit
et,KON,et
durable,ADJ,durable
en,PRP,en
tant,ADV,tant
que,KON,que
partenaire,NOM,partenaire
fiable,ADJ,fiable
et,KON,et
efficace,ADJ,efficace
du,PRP:det,du
Vietnam,NAM,Vietnam
et,KON,et
de,PRP,de
l,NOM,l
