Rubriques,NOM,rubrique
Selon,PRP,selon
Hoang,NAM,Hoang
Xuan_Chiên,NAM,Xuan_Chiên
",",PUN,","
ce,PRO:DEM,ce
dialogue,NOM,dialogue
revêt,VER:pres,revêtir
une,DET:ART,un
signification,NOM,signification
particulière,ADJ,particulier
",",PUN,","
car,KON,car
les,DET:ART,le
deux,NUM,deux
pays,NOM,pays
viennent,VER:pres,venir
d,VER:pper,d
',PUN,'
élever,VER:infi,élever
leurs,DET:POS,leur
relations,NOM,relation
au,PRP:det,au
rang,NOM,rang
du,PRP:det,du
partenariat,NOM,partenariat
stratégique,ADJ,stratégique
intégral,ADJ,intégral
pour,PRP,pour
la,DET:ART,le
paix,NOM,paix
et,KON,et
la,DET:ART,le
prospérité,NOM,prospérité
en,PRP,en
Asie,NAM,Asie
et,KON,et
dans,PRP,dans
le,DET:ART,le
monde,NOM,monde
",",PUN,","
à,PRP,à
l,NOM,l
',PUN,'
occasion,NOM,occasion
de,PRP,de
la,DET:ART,le
visite,NOM,visite
officielle,ADJ,officiel
du,PRP:det,du
président,NOM,président
vietnamien,ADJ,vietnamien
au,PRP:det,au
Japon,NAM,Japon
en,PRP,en
novembre,NOM,novembre
2023,NUM,@card@
.,SENT,.
Les,DET:ART,le
relations,NOM,relation
entre,PRP,entre
le,DET:ART,le
Vietnam,NAM,Vietnam
et,KON,et
le,DET:ART,le
Japon,NAM,Japon
entrent,VER:pres,entrer
dans,PRP,dans
une,DET:ART,un
nouvelle,ADJ,nouveau
étape,NOM,étape
de,PRP,de
développement,NOM,développement
",",PUN,","
ouvrant,VER:ppre,ouvrir|ouvrer
des,PRP:det,du
opportunités,NOM,opportunité
de,PRP,de
coopération,NOM,coopération
dans,PRP,dans
de,PRP,de
nombreux,ADJ,nombreux
domaines,NOM,domaine
entre,PRP,entre
les,DET:ART,le
deux,NUM,deux
ministères,NOM,ministère
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
.,SENT,.
Lors,ADV,lors
du,PRP:det,du
dialogue,NOM,dialogue
",",PUN,","
les,DET:ART,le
deux,NUM,deux
parties,NOM,partie
ont,VER:pres,avoir
également,ADV,également
discuté,VER:pper,discuter
de,PRP,de
la,DET:ART,le
situation,NOM,situation
mondiale,ADJ,mondial
et,KON,et
régionale,ADJ,régional
ainsi,KON,ainsi
que,KON,que
des,PRP:det,du
questions,NOM,question
d,ADJ,d
',PUN,'
intérêt,NOM,intérêt
commun,ADJ,commun
.,SENT,.
Le,DET:ART,le
général,NOM,général
de,PRP,de
corps,NOM,corps
d,ADJ,d
’,ADJ,’
armée,VER:pper,armer
Hoang_Xuân_Chiên,NAM,Hoang_Xuân_Chiên
a,VER:pres,avoir
souligné,VER:pper,souligner
que,KON,que
le,DET:ART,le
Vietnam,NAM,Vietnam
était,VER:impf,être
cohérent,ADJ,cohérent
avec,PRP,avec
la,DET:ART,le
politique,ADJ,politique
étrangère,ADJ,étranger
d,NOM,d
',PUN,'
indépendance,NOM,indépendance
",",PUN,","
d,NOM,d
',PUN,'
autonomie,NOM,autonomie
",",PUN,","
de,PRP,de
paix,NOM,paix
",",PUN,","
d,NOM,d
',PUN,'
amitié,NOM,amitié
",",PUN,","
de,PRP,de
multilatéralisation,NOM,multilatéralisation
",",PUN,","
de,PRP,de
diversification,NOM,diversification
des,PRP:det,du
relations,NOM,relation
et,KON,et
de,PRP,de
politique,NOM,politique
de,PRP,de
défense,NOM,défense
des,PRP:det,du
«,PUN:cit,«
quatre,NUM,quatre
non,ADV,non
»,PUN:cit,»
",",PUN,","
souhaitant,VER:ppre,souhaiter
toujours,ADV,toujours
que,KON,que
les,DET:ART,le
pays,NOM,pays
résolvent,VER:pres,résoudre
leurs,DET:POS,leur
problèmes,NOM,problème
par,PRP,par
le,DET:ART,le
dialogue,NOM,dialogue
",",PUN,","
par,PRP,par
des,PRP:det,du
voies,NOM,voie
pacifiques,ADJ,pacifique
",",PUN,","
sur,PRP,sur
la,DET:ART,le
base,NOM,base
du,PRP:det,du
droit,NOM,droit
",",PUN,","
des,PRP:det,du
engagements,NOM,engagement
internationaux,ADJ,international
",",PUN,","
pour,PRP,pour
la,DET:ART,le
paix,NOM,paix
",",PUN,","
l,NOM,l
',PUN,'
amitié,NOM,amitié
",",PUN,","
la,DET:ART,le
coopération,NOM,coopération
et,KON,et
le,DET:ART,le
développement,NOM,développement
.,SENT,.
Le_vice,NAM,Le_vice
-,PUN,-
ministre,NOM,ministre
japonais,ADJ,japonais
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
",",PUN,","
Serizawa_Kiyoshi,NAM,Serizawa_Kiyoshi
",",PUN,","
a,VER:pres,avoir
affirmé,VER:pper,affirmer
l,VER:pper,l
',PUN,'
importance,NOM,importance
des,PRP:det,du
relations,NOM,relation
Vietnam,NAM,Vietnam
-,PUN,-
Japon,NAM,Japon
en,PRP,en
général,ADJ,général
et,KON,et
de,PRP,de
la,DET:ART,le
coopération,NOM,coopération
en,PRP,en
matière,NOM,matière
de,PRP,de
défense,NOM,défense
entre,PRP,entre
les,DET:ART,le
deux,NUM,deux
pays,NOM,pays
en,PRP,en
particulier,NOM,particulier
.,SENT,.
Partageant_son,NOM,Partageant_son
point,NOM,point
de,PRP,de
vue,NOM,vue
sur,PRP,sur
la,DET:ART,le
situation,NOM,situation
mondiale,ADJ,mondial
et,KON,et
régionale,ADJ,régional
",",PUN,","
il,PRO:PER,il
a,VER:pres,avoir
souligné,VER:pper,souligner
la,DET:ART,le
primauté,NOM,primauté
du,PRP:det,du
droit,NOM,droit
",",PUN,","
les,DET:ART,le
efforts,NOM,effort
communs,ADJ,commun
pour,PRP,pour
construire,VER:infi,construire
un,DET:ART,un
environnement,NOM,environnement
de,PRP,de
paix,NOM,paix
",",PUN,","
d,NOM,d
',PUN,'
amitié,NOM,amitié
",",PUN,","
de,PRP,de
coopération,NOM,coopération
et,KON,et
de,PRP,de
développement,NOM,développement
.,SENT,.
Lors,ADV,lors
du,PRP:det,du
dialogue,NOM,dialogue
",",PUN,","
les,DET:ART,le
deux,NUM,deux
parties,NOM,partie
ont,VER:pres,avoir
convenu,VER:pper,convenir
à,PRP,à
poursuivre,VER:infi,poursuivre
leurs,DET:POS,leur
efforts,NOM,effort
pour,PRP,pour
promouvoir,VER:infi,promouvoir
la,DET:ART,le
coopération,NOM,coopération
",",PUN,","
en,PRP,en
se,PRO:PER,se
concentrant,VER:ppre,concentrer
sur,PRP,sur
l,NOM,l
',PUN,'
échange,NOM,échange
de,PRP,de
délégations,NOM,délégation
à,PRP,à
tous,PRO:IND,tout
les,DET:ART,le
niveaux,NOM,niveau
et,KON,et
sur,PRP,sur
les,DET:ART,le
domaines,NOM,domaine
comme,ADV,comme
l,ADJ,l
',PUN,'
éducation,NOM,éducation
",",PUN,","
la,DET:ART,le
formation,NOM,formation
",",PUN,","
l,NOM,l
',PUN,'
industrie,NOM,industrie
de,PRP,de
la,DET:ART,le
défense,NOM,défense
",",PUN,","
la,DET:ART,le
médecine,NOM,médecine
militaire,ADJ,militaire
",",PUN,","
la,DET:ART,le
cybersécurité,NOM,cybersécurité
et,KON,et
le,DET:ART,le
sauvetage,NOM,sauvetage
",",PUN,","
le,DET:ART,le
maintien,NOM,maintien
de,PRP,de
la,DET:ART,le
paix,NOM,paix
",",PUN,","
la,DET:ART,le
résolution,NOM,résolution
des,PRP:det,du
conséquences,NOM,conséquence
de,PRP,de
la,DET:ART,le
guerre,NOM,guerre
",",PUN,","
l,NOM,l
',PUN,'
amélioration,NOM,amélioration
les,DET:ART,le
capacités,NOM,capacité
d,VER:futu,d
’,ADJ,’
application,NOM,application
de,PRP,de
la,DET:ART,le
loi,NOM,loi
en,PRP,en
mer,NOM,mer
.,SENT,.
