Rubriques,NOM,rubrique
Il,PRO:PER,il
a,VER:pres,avoir
souligné,VER:pper,souligner
que,KON,que
la,DET:ART,le
visite,NOM,visite
de,PRP,de
travail,NOM,travail
au,PRP:det,au
Vietnam,NAM,Vietnam
de,PRP,de
la,DET:ART,le
délégation,NOM,délégation
de,PRP,de
l,NOM,l
’,NAM,’
USINDOPACOM,NAM,USINDOPACOM
qui,PRO:REL,qui
se,PRO:PER,se
déroule,VER:pres,dérouler
dans,PRP,dans
le,DET:ART,le
contexte,NOM,contexte
où,PRO:REL,où
les,DET:ART,le
deux,NUM,deux
pays,NOM,pays
célèbrent,VER:pres,célébrer
le,DET:ART,le
10e,NUM,10e
anniversaire,NOM,anniversaire
de,PRP,de
leur,DET:POS,leur
partenariat,NOM,partenariat
stratégique,ADJ,stratégique
(,PUN,(
2013,NUM,@card@
-,PUN,-
2023,NUM,@card@
),PUN,)
et,KON,et
ont,VER:pres,avoir
érigé,VER:pper,ériger
leurs,DET:POS,leur
liens,NOM,lien
en,PRP,en
partenariat,NOM,partenariat
stratégique,ADJ,stratégique
intégral,ADJ,intégral
pour,PRP,pour
la,DET:ART,le
paix,NOM,paix
",",PUN,","
la,DET:ART,le
coopération,NOM,coopération
et,KON,et
le,DET:ART,le
développement,NOM,développement
durable,ADJ,durable
lors,ADV,lors
de,PRP,de
la,DET:ART,le
visite,NOM,visite
d,VER:futu,d
’,NAM,’
Etat,NAM,Etat
au,PRP:det,au
Vietnam,NAM,Vietnam
du,PRP:det,du
président,NOM,président
américain,ADJ,américain
Joe,NAM,Joe
Biden,NAM,Biden
en,PRP,en
septembre,NOM,septembre
2023,NUM,@card@
",",PUN,","
constitue,VER:pres,constituer
une,DET:ART,un
base,NOM,base
favorable,ADJ,favorable
pour,KON,pour
que,KON,que
les,DET:ART,le
deux,NUM,deux
pays,NOM,pays
continuent,VER:pres,continuer
de,PRP,de
mettre,VER:infi,mettre
en,PRP,en
œuvre,NOM,œuvre
leur,DET:POS,leur
coopération,NOM,coopération
en,PRP,en
matière,NOM,matière
de,PRP,de
défense,NOM,défense
",",PUN,","
contribuant,VER:ppre,contribuer
ainsi,ADV,ainsi
à,PRP,à
la,DET:ART,le
paix,NOM,paix
",",PUN,","
à,PRP,à
la,DET:ART,le
stabilité,NOM,stabilité
",",PUN,","
à,PRP,à
la,DET:ART,le
coopération,NOM,coopération
et,KON,et
au,PRP:det,au
développement,NOM,développement
dans,PRP,dans
la,DET:ART,le
région,NOM,région
et,KON,et
dans,PRP,dans
le,DET:ART,le
monde,NOM,monde
.,SENT,.
Le,DET:ART,le
Vietnam,NAM,Vietnam
considère,VER:pres,considérer
toujours,ADV,toujours
les,DET:ART,le
États,NAM,États
-,PUN,-
Unis,VER:pper,unir
comme,ADV,comme
l,VER:cond,l
’,ABR,’
un,NUM,un
des,PRP:det,du
partenaires,NOM,partenaire
importants,ADJ,important
dans,PRP,dans
sa,DET:POS,son
politique,NOM,politique
étrangère,ADJ,étranger
et,KON,et
souhaite,VER:pres,souhaiter
promouvoir,VER:infi,promouvoir
les,DET:ART,le
relations,NOM,relation
avec,PRP,avec
les,DET:ART,le
États,NAM,États
-,PUN,-
Unis,VER:pper,unir
sur,PRP,sur
la,DET:ART,le
base,NOM,base
du,PRP:det,du
respect,NOM,respect
de,PRP,de
l,NOM,l
’,ABR,’
indépendance,NOM,indépendance
",",PUN,","
de,PRP,de
la,DET:ART,le
souveraineté,NOM,souveraineté
et,KON,et
des,PRP:det,du
institutions,NOM,institution
politiques,ADJ,politique
de,PRP,de
chacun,PRO:IND,chacun
",",PUN,","
pour,PRP,pour
les,DET:ART,le
intérêts,NOM,intérêt
des,PRP:det,du
deux,NUM,deux
pays,NOM,pays
",",PUN,","
pour,PRP,pour
la,DET:ART,le
paix,NOM,paix
",",PUN,","
la,DET:ART,le
stabilité,NOM,stabilité
",",PUN,","
la,DET:ART,le
coopération,NOM,coopération
et,KON,et
le,DET:ART,le
développement,NOM,développement
dans,PRP,dans
la,DET:ART,le
région,NOM,région
et,KON,et
dans,PRP,dans
le,DET:ART,le
monde,NOM,monde
",",PUN,","
a,VER:pres,avoir
-,PUN,-
t,VER:subi,t
-,PUN,-
il,PRO:PER,il
affirmé,VER:pper,affirmer
.,SENT,.
Ces,PRO:DEM,ce
derniers,ADJ,dernier
temps,NOM,temps
",",PUN,","
les,DET:ART,le
relations,NOM,relation
de,PRP,de
coopération,NOM,coopération
en,PRP,en
matière,NOM,matière
de,PRP,de
défense,NOM,défense
entre,PRP,entre
le,DET:ART,le
Vietnam,NAM,Vietnam
et,KON,et
les,DET:ART,le
États,NAM,États
-,PUN,-
Unis,VER:pper,unir
ont,VER:pres,avoir
continué,VER:pper,continuer
à,PRP,à
être,VER:infi,être
déployée,VER:pper,déployer
par,PRP,par
les,DET:ART,le
deux,NUM,deux
parties,NOM,partie
conformément,ADV,conformément
aux,PRP:det,au
documents,NOM,document
et,KON,et
accords,NOM,accord
signés,VER:pper,signer
",",PUN,","
et,KON,et
ont,VER:pres,avoir
obtenu,VER:pper,obtenir
de,PRP,de
nombreux,ADJ,nombreux
résultats,NOM,résultat
positifs,ADJ,positif
",",PUN,","
notamment,ADV,notamment
dans,PRP,dans
les,DET:ART,le
domaines,NOM,domaine
tels,PRO:DEM,tel
que,PRO:REL,que
le,DET:ART,le
règlement,NOM,règlement
des,PRP:det,du
conséquences,NOM,conséquence
de,PRP,de
la,DET:ART,le
guerre,NOM,guerre
",",PUN,","
le,DET:ART,le
maintien,NOM,maintien
de,PRP,de
la,DET:ART,le
paix,NOM,paix
de,PRP,de
l,NOM,l
’,ABR,’
ONU,ABR,ONU
",",PUN,","
l,NOM,l
’,ADJ,’
entraînement,NOM,entraînement
",",PUN,","
la,DET:ART,le
médecine,NOM,médecine
militaire,ADJ,militaire
",",PUN,","
coopération,NOM,coopération
interarmées,ADJ,interarmées
.,SENT,.
Le,DET:ART,le
responsable,ADJ,responsable
vietnamien,NOM,vietnamien
a,VER:pres,avoir
apprécié,VER:pper,apprécier
le,DET:ART,le
rôle,NOM,rôle
de,PRP,de
l,NOM,l
’,ADJ,’
armée,VER:pper,armer
américain,ADJ,américain
de,PRP,de
l,ADJ,l
’,NAM,’
Indo,NAM,Indo
-,PUN,-
Pacifique,NAM,Pacifique
dans,PRP,dans
la,DET:ART,le
coordination,NOM,coordination
du,PRP:det,du
déploiement,NOM,déploiement
des,PRP:det,du
activités,NOM,activité
de,PRP,de
coopération,NOM,coopération
entre,PRP,entre
les,DET:ART,le
deux,NUM,deux
parties,NOM,partie
",",PUN,","
et,KON,et
a,VER:pres,avoir
exhorté,VER:pper,exhorter
les,DET:ART,le
deux,NUM,deux
parties,NOM,partie
à,PRP,à
continuent,VER:pres,continuer
à,PRP,à
mettre,VER:infi,mettre
en,PRO:PER,en
œuvre,VER:pres,œuvrer
efficacement,ADV,efficacement
les,DET:ART,le
documents,NOM,document
et,KON,et
accords,NOM,accord
signés,VER:pper,signer
",",PUN,","
en,PRP,en
prioritisant,VER:ppre,prioritiser
la,DET:ART,le
coopération,NOM,coopération
dans,PRP,dans
le,DET:ART,le
domaine,NOM,domaine
du,PRP:det,du
maintien,NOM,maintien
de,PRP,de
la,DET:ART,le
paix,NOM,paix
de,PRP,de
l,NOM,l
’,ABR,’
ONU,ABR,ONU
;,PUN,;
à,PRP,à
améliorer,VER:infi,améliorer
davantage,ADV,davantage
l,VER:cond,l
’,ADJ,’
efficacité,NOM,efficacité
et,KON,et
la,DET:ART,le
qualité,NOM,qualité
de,PRP,de
la,DET:ART,le
coopération,NOM,coopération
en,PRP,en
matière,NOM,matière
de,PRP,de
formation,NOM,formation
;,PUN,;
et,KON,et
à,PRP,à
approfondir,VER:infi,approfondir
la,DET:ART,le
coopération,NOM,coopération
en,PRP,en
matière,NOM,matière
de,PRP,de
médecine,NOM,médecine
militaire,ADJ,militaire
.,SENT,.
Il,PRO:PER,il
a,VER:pres,avoir
proposé,VER:pper,proposer
aux,PRP:det,au
États,NAM,États
-,PUN,-
Unis,VER:pper,unir
donnent,VER:pres,donner
la,DET:ART,le
priorité,NOM,priorité
à,PRP,à
la,DET:ART,le
promotion,NOM,promotion
de,PRP,de
la,DET:ART,le
coopération,NOM,coopération
pour,PRP,pour
surmonter,VER:infi,surmonter
les,DET:ART,le
conséquences,NOM,conséquence
de,PRP,de
la,DET:ART,le
guerre,NOM,guerre
",",PUN,","
notamment,ADV,notamment
en,PRP,en
continuant,VER:ppre,continuer
à,PRP,à
accroître,VER:infi,accroître
leur,DET:POS,leur
soutien,NOM,soutien
au,PRP:det,au
Vietnam,NAM,Vietnam
en,PRP,en
termes,NOM,terme
de,PRP,de
ressources,NOM,ressource
pour,PRP,pour
le,DET:ART,le
projet,NOM,projet
d,VER:futu,d
’,ADJ,’
assainissement,NOM,assainissement
de,PRP,de
l,NOM,l
’,ADJ,’
environnement,NOM,environnement
contaminé,VER:pper,contaminer
par,PRP,par
la,DET:ART,le
dioxine,NOM,dioxine
à,PRP,à
l,NOM,l
’,ABR,’
aéroport,NOM,aéroport
de,PRP,de
Biên,NAM,Biên
Hoa,NAM,Hoa
dans,PRP,dans
la,DET:ART,le
province,NOM,province
de,PRP,de
Dông_Nai,NAM,Dông_Nai
(,PUN,(
au,PRP:det,au
Sud,NOM,Sud
du,PRP:det,du
Vietnam,NAM,Vietnam
),PUN,)
",",PUN,","
à,PRP,à
se,PRO:PER,se
coordonner,VER:infi,coordonner
pour,PRP,pour
évaluer,VER:infi,évaluer
les,DET:ART,le
résultats,NOM,résultat
de,PRP,de
la,DET:ART,le
décontamination,NOM,décontamination
de,PRP,de
la,DET:ART,le
dioxine,NOM,dioxine
à,PRP,à
l,NOM,l
’,ABR,’
aéroport,NOM,aéroport
de,PRP,de
A_Sho,NAM,A_Sho
dans,PRP,dans
la,DET:ART,le
province,NOM,province
de,PRP,de
Thua_Thiên_Huê,NAM,Thua_Thiên_Huê
(,PUN,(
au,PRP:det,au
Centre,NOM,centre
du,PRP:det,du
Vietnam,NAM,Vietnam
),PUN,)
et,KON,et
le,DET:ART,le
traitement,NOM,traitement
de,PRP,de
la,DET:ART,le
dioxine,NOM,dioxine
dans,PRP,dans
les,DET:ART,le
sols,NOM,sol
à,PRP,à
l,NOM,l
’,ABR,’
aéroport,NOM,aéroport
de,PRP,de
Phù_Cat,NOM,Phù_Cat
dans,PRP,dans
la,DET:ART,le
province,NOM,province
de,PRP,de
Binh_Dinh,NAM,Binh_Dinh
(,PUN,(
au,PRP:det,au
centre,NOM,centre
du,PRP:det,du
Vietnam,NAM,Vietnam
),PUN,)
.,SENT,.
