Rubriques,NOM,rubrique
La_cérémonie,NAM,La_cérémonie
a,VER:pres,avoir
été,VER:pper,être
présidée,VER:pper,présider
par,PRP,par
le,DET:ART,le
général,NOM,général
de,PRP,de
corps,NOM,corps
d,ADJ,d
’,ADJ,’
armée,VER:pper,armer
He_Weidong,NAM,He_Weidong
",",PUN,","
membre,NOM,membre
du,PRP:det,du
Bureau,NOM,bureau
politique,ADJ,politique
du,PRP:det,du
Comité,NOM,comité
central,ADJ,central
du,PRP:det,du
Parti,NOM,parti
communiste,ADJ,communiste
chinois,ADJ,chinois
(,PUN,(
PCC,NAM,PCC
),PUN,)
",",PUN,","
vice,ADV,vice
-,PUN,-
président,NOM,président
de,PRP,de
la,DET:ART,le
Commission,NOM,commission
militaire,ADJ,militaire
centrale,ADJ,central
(,PUN,(
CMC,NAM,CMC
),PUN,)
de,PRP,de
Chine,NAM,Chine
.,SENT,.
La_visite,NOM,La_visite
du,PRP:det,du
ministre,NOM,ministre
Phan_Van_Giang,NAM,Phan_Van_Giang
",",PUN,","
également,ADV,également
membre,NOM,membre
du,PRP:det,du
Bureau,NOM,bureau
politique,ADJ,politique
du,PRP:det,du
Comité,NOM,comité
central,ADJ,central
du,PRP:det,du
Parti,NOM,parti
communiste,ADJ,communiste
du,PRP:det,du
Vietnam,NAM,Vietnam
(,PUN,(
PCV,NAM,PCV
),PUN,)
",",PUN,","
secrétaire,NOM,secrétaire
adjoint,VER:pper,adjoindre
de,PRP,de
la,DET:ART,le
Commission,NOM,commission
militaire,ADJ,militaire
centrale,ADJ,central
du,PRP:det,du
Vietnam,NAM,Vietnam
",",PUN,","
a,VER:pres,avoir
confirmé,VER:pper,confirmer
que,KON,que
la,DET:ART,le
coopération,NOM,coopération
en,PRP,en
matière,NOM,matière
de,PRP,de
défense,NOM,défense
était,VER:impf,être
l,VER:pper,l
',PUN,'
un,NOM,un
des,PRP:det,du
piliers,NOM,pilier
importants,ADJ,important
du,PRP:det,du
«,PUN:cit,«
partenariat,NOM,partenariat
de,PRP,de
coopération,NOM,coopération
stratégique,ADJ,stratégique
intégral,ADJ,intégral
Vietnam,NAM,Vietnam
-,PUN,-
Chine,NAM,Chine
»,PUN:cit,»
.,SENT,.
Le,DET:ART,le
général,NOM,général
de,PRP,de
corps,NOM,corps
d,ADJ,d
’,ADJ,’
armée,VER:pper,armer
He_Weidong,NAM,He_Weidong
a,VER:pres,avoir
salué,VER:pper,saluer
cette,PRO:DEM,ce
première,NUM,premier
visite,NOM,visite
officielle,ADJ,officiel
du,PRP:det,du
général,ADJ,général
d,NOM,d
’,ADJ,’
armée,VER:pper,armer
Phan_Van_Giang,NAM,Phan_Van_Giang
en,PRP,en
Chine,NAM,Chine
en,PRP,en
tant,ADV,tant
que,KON,que
secrétaire,NOM,secrétaire
adjoint,VER:pper,adjoindre
de,PRP,de
la,DET:ART,le
Commission,NOM,commission
militaire,ADJ,militaire
centrale,ADJ,central
et,KON,et
ministre,NOM,ministre
de,PRP,de
la,DET:ART,le
Défense,NAM,Défense
du,PRP:det,du
Vietnam,NAM,Vietnam
",",PUN,","
ainsi,KON,ainsi
que,KON,que
sa,DET:POS,son
participation,NOM,participation
au,PRP:det,au
10e,NUM,10e
Forum_Xiangshan,NAM,Forum_Xiangshan
à,PRP,à
Pékin,NAM,Pékin
à,PRP,à
l,NOM,l
',PUN,'
occasion,NOM,occasion
du,PRP:det,du
15e,NUM,15e
anniversaire,NOM,anniversaire
de,PRP,de
l,NOM,l
’,ADJ,’
élévation,NOM,élévation
