1	Chúng_tôi	P	O	2	sub
2	xin	V	O	0	root
3	thông_báo	V	O	2	vmod
4	để	E	O	3	prp
5	các	L	O	6	det
6	cơ_quan	N	O	15	sub
7	,	CH	O	6	punct
8	đoàn_thể	N	O	6	nmod
9	,	CH	O	6	punct
10	đơn_vị	N	O	6	nmod
11	,	CH	O	6	punct
12	trường_học	N	O	6	nmod
13	và	Cc	O	6	coord
14	bạn_đọc	N	O	13	conj
15	đặt	V	O	4	dep
16	mua	V	O	15	vmod
17	các	L	O	18	det
18	ấn_phẩm	N	O	16	dob
19	Báo	N	B-ORG	18	nmod
20	Nhân_Dân	Np	I-ORG	19	nmod
21	theo	V	O	15	vmod
22	thông_tin	N	O	21	dob
23	sau	N	O	22	nmod
24	:	CH	O	15	punct

1	Đường_dây_nóng	N	O	0	root
2	:	CH	O	1	punct
3	(	CH	O	1	punct
4	84	M	O	1	nmod
5	)	CH	O	1	punct
6	24	M	O	1	punct
7	393	M	O	4	dep
8	82413	M	O	1	det

1	Xin	V	O	0	root
2	trân_trọng	V	O	1	vmod
3	cảm_ơn	V	O	2	vmod
4	!	CH	O	1	punct

1	Tại	E	O	10	loc
2	triển_lãm	N	O	1	pob
3	,	CH	O	10	punct
4	Đoàn	N	O	10	sub
5	đại_biểu	N	O	4	nmod
6	Bộ	N	B-ORG	4	nmod
7	Quốc_phòng	N	I-ORG	6	nmod
8	Việt_Nam	Np	I-ORG	7	nmod
9	đã	R	O	10	adv
10	tham_dự	V	O	0	root
11	lễ	N	O	10	dob
12	khai_mạc	V	O	11	nmod
13	,	CH	O	10	punct
14	tham_quan	V	O	10	vmod
15	các	L	O	16	det
16	gian_hàng	N	O	14	dob
17	và	Cc	O	16	coord
18	khu	N	O	17	conj
19	trưng_bày	V	O	18	nmod
20	sản_phẩm	N	O	18	nmod
21	của	E	O	16	nmod
22	một_số	L	O	23	det
23	doanh_nghiệp	N	O	21	pob
24	,	CH	O	23	punct
25	tập_đoàn	N	O	23	nmod
26	lớn	A	O	25	nmod
27	trên	E	O	25	loc
28	thế_giới	N	O	27	pob
29	;	CH	O	10	punct
30	có	V	O	10	vmod
31	các	L	O	32	det
32	cuộc	N	O	30	dob
33	gặp	V	O	32	nmod
34	với	E	O	32	nmod
35	một_số	L	O	36	det
36	đối_tác	N	O	34	pob
37	để	E	O	32	prp
38	trao_đổi	V	O	37	vmod
39	về	E	O	38	vmod
40	các	L	O	41	det
41	vấn_đề	N	O	39	pob
42	cùng	A	O	43	vmod
43	quan_tâm	V	O	41	nmod
44	về	E	O	43	vmod
45	hợp_tác	V	O	44	vmod
46	song_phương	A	O	45	vmod
47	.	CH	O	10	punct

1	Tại	E	O	0	root
2	cuộc	N	O	1	pob
3	gặp	V	O	2	nmod
4	với	E	O	2	nmod
5	Giám_đốc	N	O	4	pob
6	Cơ_quan	N	O	5	nmod
7	quản_lý	V	O	6	nmod
8	chương_trình	N	O	7	dob
9	mua_sắm	V	O	8	nmod
10	quốc_phòng	N	O	9	dob
11	Hàn_Quốc	Np	B-LOC	10	nmod
12	(	CH	O	10	punct
13	DAPA	Ny	B-ORG	10	nmod
14	)	CH	O	10	punct
15	ông	Nc	O	37	sub
16	Seok_Jong	Np	B-PER	15	nmod
17	-	CH	O	15	punct
18	gun	N	O	15	nmod
19	,	CH	O	15	punct
20	hai	M	O	21	det
21	bên	N	O	15	nmod
22	bày_tỏ	V	O	21	nmod
23	vui_mừng	V	O	22	vmod
24	với	E	O	23	vmod
25	sự	N	O	24	pob
26	phát_triển	V	O	25	nmod
27	của	E	O	25	nmod
28	quan_hệ	N	O	27	pob
29	Đối_tác	V	O	28	nmod
30	chiến_lược	N	O	29	dob
31	toàn_diện	A	O	30	nmod
32	Việt_Nam	Np	B-LOC	30	nmod
33	-	CH	O	32	punct
34	Hàn_Quốc	Np	B-LOC	32	nmod
35	nói_chung	X	O	30	x
36	,	CH	O	15	punct
37	hợp_tác	V	O	2	nmod
38	quốc_phòng	N	O	37	dob
39	song_phương	A	O	38	nmod
40	nói_riêng	X	O	37	x
41	.	CH	O	37	punct

1	Đặc_biệt	A	O	3	adv
2	,	CH	O	3	punct
3	hợp_tác	V	O	0	root
4	trong	E	O	3	vmod
5	lĩnh_vực	N	O	4	pob
6	công_nghiệp	N	O	5	nmod
7	quốc_phòng	N	O	6	nmod
8	,	CH	O	6	punct
9	thương_mại	N	O	6	nmod
10	quân_sự	N	O	9	nmod
11	cũng	R	O	12	adv
12	được	V	O	3	vmod
13	hai	M	O	14	det
14	bên	N	O	15	sub
15	quan_tâm	V	O	12	vmod
16	triển_khai	V	O	15	vmod
17	,	CH	O	15	punct
18	đạt	V	O	15	vmod
19	kết_quả	N	O	18	dob
20	thiết_thực	A	O	19	nmod
21	.	CH	O	3	punct

1	Thượng_tướng	N	O	3	sub
2	Phùng_Sĩ_Tấn	Np	B-PER	1	nmod
3	đánh_giá	V	O	0	root
4	cao	A	O	3	vmod
5	vị_trí	N	O	3	dob
6	,	CH	O	5	punct
7	vai_trò	N	O	5	nmod
8	của	E	O	7	nmod
9	Cơ_quan	N	O	8	pob
10	quản_lý	V	O	9	nmod
11	chương_trình	N	O	10	dob
12	mua_sắm	V	O	11	nmod
13	quốc_phòng	N	O	12	dob
14	Hàn_Quốc	Np	B-LOC	13	nmod
15	DAPA	Ny	O	13	nmod
16	và	Cc	O	10	coord
17	mong_muốn	V	O	16	conj
18	,	CH	O	5	punct
19	DAPA	Ny	B-ORG	21	sub
20	sẽ	R	O	21	adv
21	tiếp_tục	V	O	3	vmod
22	đóng_góp	V	O	21	vmod
23	vào	E	O	22	vmod
24	sự	N	O	23	pob
25	phát_triển	V	O	24	nmod
26	chung	A	O	24	nmod
27	của	E	O	24	nmod
28	quan_hệ	N	O	27	pob
29	quốc_phòng	N	O	28	nmod
30	song_phương	A	O	28	nmod
31	giữa	N	O	28	nmod
32	Việt_Nam	Np	B-LOC	31	nmod
33	và	Cc	O	32	coord
34	Hàn_Quốc	Np	B-LOC	33	conj
35	.	CH	O	3	punct

1	Giám_đốc	N	O	3	sub
2	DAPA	Ny	B-ORG	1	nmod
3	khẳng_định	V	O	0	root
4	coi_trọng	V	O	3	vmod
5	hợp_tác	V	O	4	vmod
6	với	E	O	5	vmod
7	các	L	O	8	det
8	đối_tác	N	O	6	pob
9	Việt_Nam	Np	B-LOC	8	nmod
10	,	CH	O	3	punct
11	mong_muốn	V	O	3	vmod
12	hai	M	O	13	det
13	bên	N	O	11	vmod
14	tiếp_tục	V	O	13	nmod
15	có	V	O	14	vmod
16	những	L	O	17	det
17	hợp_tác	N	O	15	dob
18	thực_chất	N	O	17	nmod
19	,	CH	O	17	punct
20	hiệu_quả	N	O	17	nmod
21	trong	E	O	17	nmod
22	lĩnh_vực	N	O	21	pob
23	công_nghiệp	N	O	22	nmod
24	quốc_phòng	N	O	23	nmod
25	thời_gian	N	O	22	nmod
26	tới	V	O	25	nmod
27	.	CH	O	3	punct

1	Thượng_tướng	N	O	3	sub
2	Phùng_Sĩ_Tấn	Np	B-PER	1	nmod
3	trao	V	O	0	root
4	quà	N	O	3	dob
5	lưu_niệm	V	O	4	nmod
6	tặng	V	O	5	vmod
7	Giám_đốc	N	O	6	dob
8	DAPA	Ny	B-ORG	7	nmod
9	Hàn_Quốc	Np	B-LOC	7	nmod
10	ông	Nc	O	7	nmod
11	Seok_Jong	Np	B-PER	10	nmod
12	-	CH	O	10	punct
13	gun	N	O	10	nmod
